year,uf,area
2015,AC,143.76
2015,AM,927.96
2015,MT,1285.19
2015,PA,1700.83
2016,AC,158.79
2016,AM,766.4300000000001
2016,MT,1223.98
2016,PA,975.73
2017,AC,166.25
2017,AM,667.66
2017,MT,1167.34
2017,PA,1546.72
2018,AC,265.4
2018,AM,851.84
2018,MT,1018.2800000000001
2018,PA,1363.46
2019,AC,473.97
2019,AM,1272.6699999999998
2019,MT,1537.85
2019,PA,1207.63
2020,AC,489.42
2020,AM,949.15
2020,MT,1490.96
2020,PA,797.48
2021,AC,394.73
2021,AM,1092.21
2021,MT,1433.43
2021,PA,1342.26
2022,AC,460.55
2022,AM,1488.27
2022,MT,1278.75
2022,PA,1244.56
2023,AC,211.93
2023,AM,791.1
2023,MT,940.9399999999999
2023,PA,1680.92
2024,AC,237.9
2024,AM,814.3
2024,MT,1159.74
2024,PA,1325.3400000000001
2025,AC,54.19
2025,AM,118.31000000000002
2025,MT,194.43
2025,PA,185.2
