year,month,area,uf,className,numPol
2019/2020,8,5.2,PA,MINERACAO,58
2015/2016,8,1.96,AM,MINERACAO,15
2015/2016,8,0.2,MT,MINERACAO,2
2015/2016,8,11.86,PA,MINERACAO,101
2015/2016,8,0.11,RO,MINERACAO,1
2015/2016,9,0.11,AM,MINERACAO,1
2015/2016,9,0.27,MT,MINERACAO,3
2015/2016,9,2.82,PA,MINERACAO,32
2015/2016,10,0.29,PA,MINERACAO,4
2015/2016,11,0.35,PA,MINERACAO,5
2015/2016,3,0.07,MT,MINERACAO,1
2015/2016,3,1.81,PA,MINERACAO,16
2015/2016,4,7.37,PA,MINERACAO,60
2015/2016,5,0.4,MT,MINERACAO,2
2015/2016,5,3.61,PA,MINERACAO,31
2015/2016,5,0.1,RO,MINERACAO,1
2015/2016,6,0.16,AM,MINERACAO,2
2015/2016,6,0.96,MT,MINERACAO,8
2015/2016,6,10.87,PA,MINERACAO,92
2015/2016,6,0.15,RO,MINERACAO,2
2015/2016,7,5.25,PA,MINERACAO,41
2015/2016,7,0.08,RO,MINERACAO,1
2016/2017,8,0.11,AM,MINERACAO,1
2016/2017,8,0.66,MT,MINERACAO,3
2016/2017,8,1.51,PA,MINERACAO,12
2016/2017,9,0.17,AM,MINERACAO,2
2016/2017,9,0.68,MT,MINERACAO,2
2016/2017,9,2.12,PA,MINERACAO,23
2025/2026,9,1.67,PA,MINERACAO,19
2016/2017,10,0.1,AM,MINERACAO,1
2016/2017,10,0.94,MT,MINERACAO,9
2016/2017,10,7.83,PA,MINERACAO,64
2016/2017,11,0.51,MT,MINERACAO,4
2016/2017,11,1.11,PA,MINERACAO,12
2016/2017,2,0.14,MT,MINERACAO,1
2025/2026,9,0.19,MT,MINERACAO,3
2016/2017,3,0.39,MT,MINERACAO,3
2016/2017,4,0.4,MT,MINERACAO,2
2016/2017,4,1.16,PA,MINERACAO,8
2016/2017,5,0.23,AM,MINERACAO,2
2016/2017,5,0.6,MT,MINERACAO,7
2016/2017,5,14.48,PA,MINERACAO,113
2016/2017,6,0.12,AM,MINERACAO,1
2016/2017,6,1.09,MT,MINERACAO,10
2016/2017,6,18.21,PA,MINERACAO,160
2025/2026,9,4.24,AP,MINERACAO,45
2016/2017,7,0.16,MT,MINERACAO,2
2016/2017,7,1.97,PA,MINERACAO,19
2025/2026,9,0.44,AM,MINERACAO,4
2016/2017,7,0.18,RO,MINERACAO,2
2017/2018,8,0.07,MT,MINERACAO,1
2017/2018,8,1.24,PA,MINERACAO,14
2017/2018,8,0.11,RO,MINERACAO,1
2017/2018,9,0.12,MT,MINERACAO,1
2017/2018,9,1.81,PA,MINERACAO,16
2017/2018,10,0.07,AM,MINERACAO,1
2017/2018,10,2.54,PA,MINERACAO,24
2017/2018,11,0.2,AM,MINERACAO,2
2017/2018,11,3.37,PA,MINERACAO,36
2017/2018,12,0.07,AM,MINERACAO,1
2017/2018,12,0.66,MT,MINERACAO,8
2017/2018,12,2.88,PA,MINERACAO,28
2017/2018,12,0.08,RO,MINERACAO,2
2017/2018,1,0.17,AM,MINERACAO,1
2017/2018,1,0.29,MT,MINERACAO,3
2025/2026,8,0.11,RO,MINERACAO,2
2017/2018,1,5.2,PA,MINERACAO,50
2017/2018,2,0.18,AM,MINERACAO,2
2017/2018,2,0.25,PA,MINERACAO,2
2017/2018,3,0.06,MA,MINERACAO,1
2017/2018,3,0.22,MT,MINERACAO,2
2017/2018,3,4.16,PA,MINERACAO,41
2025/2026,8,4.12,PA,MINERACAO,52
2017/2018,4,0.09,AM,MINERACAO,1
2017/2018,4,1.13,MT,MINERACAO,10
2017/2018,4,8.51,PA,MINERACAO,84
